"ENSEMBL","ENTREZID"
"ENSG00000125999","92747"
"ENSG00000126016","154796"
"ENSG00000126216","10426"
"ENSG00000126226","55795"
"ENSG00000126709","2537"
"ENSG00000126970","55906"
"ENSG00000127124","59269"
"ENSG00000127152","64919"
"ENSG00000127220","79575"
"ENSG00000127399","65999"
"ENSG00000127415","3425"
"ENSG00000127507","30817"
"ENSG00000127533","9002"
"ENSG00000127585","146330"
"ENSG00000127955","2770"
"ENSG00000128266","2781"
"ENSG00000128271","135"
"ENSG00000128274","53947"
"ENSG00000128408","26150"
"ENSG00000128564","7425"
"ENSG00000128815","57705"
"ENSG00000128872","29767"
"ENSG00000129226","968"
"ENSG00000129675","9459"
"ENSG00000129757","1028"
"ENSG00000129946","25759"
"ENSG00000129951","79948"
"ENSG00000129968","81926"
"ENSG00000129991","7137"
"ENSG00000130203","348"
"ENSG00000130208","341"
"ENSG00000130477","23025"
"ENSG00000130479","55201"
"ENSG00000130508","7837"
"ENSG00000130513","9518"
"ENSG00000130522","3727"
"ENSG00000130589","85441"
"ENSG00000130600","283120"
"ENSG00000130635","1289"
"ENSG00000130649","1571"
"ENSG00000130700","140628"
"ENSG00000130758","4294"
"ENSG00000130818","79088"
"ENSG00000130881","4037"
"ENSG00000131016","9590"
"ENSG00000131116","126299"
"ENSG00000131188","80758"
"ENSG00000131196","4772"
"ENSG00000131378","23180"
"ENSG00000131650","79412"
"ENSG00000131746","84951"
"ENSG00000131771","84152"
"ENSG00000132003","65249"
"ENSG00000132122","54558"
"ENSG00000132357","84674"
"ENSG00000132429","64208"
"ENSG00000132535","1742"
"ENSG00000132879","93611"
"ENSG00000133083","9201"
"ENSG00000133114","55425"
"ENSG00000133134","84707"
"ENSG00000133135","79589"
"ENSG00000133250","84330"
"ENSG00000133321","5920"
"ENSG00000133863","56154"
"ENSG00000133937","145258"
"ENSG00000133958","57578"
"ENSG00000134258","79679"
"ENSG00000134321","91543"
"ENSG00000134323","4613"
"ENSG00000134326","129607"
"ENSG00000134569","4038"
"ENSG00000134668","90853"
"ENSG00000134769","1837"
"ENSG00000134802","29015"
"ENSG00000134824","9415"
"ENSG00000134874","22873"
"ENSG00000134884","55082"
"ENSG00000134900","7174"
"ENSG00000134901","79070"
"ENSG00000135046","301"
"ENSG00000135063","9413"
"ENSG00000135074","8728"
"ENSG00000135218","948"
"ENSG00000135226","54490"
"ENSG00000135318","4907"
"ENSG00000135447","5502"
"ENSG00000135477","85349"
"ENSG00000135549","5570"
"ENSG00000135636","8291"
"ENSG00000135773","10753"
"ENSG00000135842","116496"
"ENSG00000135905","55619"
"ENSG00000135912","9654"
"ENSG00000135914","3357"
"ENSG00000136098","4752"
"ENSG00000136111","9882"
"ENSG00000136122","79866"
"ENSG00000136153","4008"
"ENSG00000136155","8796"
"ENSG00000136167","3936"
"ENSG00000136295","80727"
"ENSG00000136574","2626"
"ENSG00000136689","3557"
"ENSG00000136695","26525"
"ENSG00000136840","27090"
"ENSG00000136842","7111"
"ENSG00000137103","51754"
"ENSG00000137142","347252"
"ENSG00000137261","9856"
"ENSG00000137331","8870"
"ENSG00000137462","7097"
"ENSG00000137501","54843"
"ENSG00000137561","7274"
"ENSG00000137872","80031"
"ENSG00000137878","145781"
"ENSG00000138115","1558"
"ENSG00000138207","5950"
"ENSG00000138448","3685"
"ENSG00000138622","10021"
"ENSG00000139144","5288"
"ENSG00000139318","1848"
"ENSG00000139410","113675"
"ENSG00000139438","84915"
"ENSG00000139746","64062"
"ENSG00000139800","85416"
"ENSG00000139826","84945"
"ENSG00000139835","79774"
"ENSG00000139842","8451"
"ENSG00000139970","6252"
"ENSG00000140093","51156"
"ENSG00000140527","56964"
"ENSG00000140675","6524"
"ENSG00000140807","85407"
"ENSG00000140859","3801"
"ENSG00000141040","57336"
"ENSG00000141574","6398"
"ENSG00000141576","114804"
"ENSG00000141655","8792"
"ENSG00000142025","63946"
"ENSG00000142089","10410"
"ENSG00000142156","1291"
"ENSG00000142173","1292"
"ENSG00000142235","114783"
"ENSG00000142303","81794"
"ENSG00000142319","6531"
"ENSG00000142459","115704"
"ENSG00000142619","51702"
"ENSG00000143013","8543"
"ENSG00000143333","6004"
"ENSG00000143546","6279"
"ENSG00000143590","1944"
"ENSG00000143653","51097"
"ENSG00000143858","127833"
"ENSG00000144115","55258"
"ENSG00000144451","79582"
"ENSG00000144452","26154"
"ENSG00000144476","57007"
"ENSG00000144642","27303"
"ENSG00000144649","729085"
"ENSG00000144724","5793"
"ENSG00000144730","54756"
"ENSG00000144815","91775"
"ENSG00000145198","90113"
"ENSG00000145214","1609"
"ENSG00000145476","285440"
"ENSG00000145506","85409"
"ENSG00000145569","54491"
"ENSG00000145703","10788"
"ENSG00000145794","84466"
"ENSG00000145949","340156"
"ENSG00000146021","26249"
"ENSG00000146112","170954"
"ENSG00000146112","107987457"
"ENSG00000146215","401262"
"ENSG00000146267","84553"
"ENSG00000146281","135293"
"ENSG00000146530","221806"
"ENSG00000146592","9586"
"ENSG00000146950","357"
"ENSG00000147041","94122"
"ENSG00000147065","4478"
"ENSG00000147100","6567"
"ENSG00000147202","1730"
"ENSG00000147813","93100"
"ENSG00000148346","3934"
"ENSG00000148704","11023"
"ENSG00000148798","9118"
"ENSG00000148803","282969"
"ENSG00000148832","196743"
"ENSG00000149212","143686"
"ENSG00000149294","4684"
"ENSG00000149596","57158"
"ENSG00000149639","140710"
"ENSG00000149809","7108"
"ENSG00000150051","283078"
"ENSG00000150676","220047"
"ENSG00000150722","151242"
"ENSG00000150907","2308"
"ENSG00000150995","3708"
"ENSG00000151117","144110"
"ENSG00000151150","288"
"ENSG00000151883","79668"
"ENSG00000152137","26353"
"ENSG00000152192","5457"
"ENSG00000152193","79596"
"ENSG00000152213","115761"
"ENSG00000152217","26040"
"ENSG00000152270","5140"
"ENSG00000152284","83439"
"ENSG00000152402","2977"
"ENSG00000152495","814"
"ENSG00000152779","387700"
"ENSG00000152785","651"
"ENSG00000152952","5352"
"ENSG00000153162","654"
"ENSG00000153233","5801"
"ENSG00000153294","221393"
"ENSG00000153404","153478"
"ENSG00000154146","4900"
"ENSG00000154188","284"
"ENSG00000154229","5578"
"ENSG00000154269","5169"
"ENSG00000154330","5239"
"ENSG00000154822","23228"
"ENSG00000155324","65983"
"ENSG00000155380","6566"
"ENSG00000155495","9947"
"ENSG00000155792","64798"
"ENSG00000155849","9844"
"ENSG00000155961","116442"
"ENSG00000156076","11197"
"ENSG00000156140","9508"
"ENSG00000156218","57188"
"ENSG00000156284","9073"
"ENSG00000156298","7102"
"ENSG00000156381","122416"
"ENSG00000156463","153769"
"ENSG00000156509","286151"
"ENSG00000156510","80201"
"ENSG00000157064","23057"
"ENSG00000157168","3084"
"ENSG00000157240","8321"
"ENSG00000157388","776"
"ENSG00000157404","3815"
"ENSG00000157601","4599"
"ENSG00000157613","90993"
"ENSG00000157680","9162"
"ENSG00000157765","10568"
"ENSG00000158186","22808"
"ENSG00000158258","64084"
"ENSG00000158270","81035"
"ENSG00000158292","387509"
"ENSG00000158352","57477"
"ENSG00000158427","286527"
"ENSG00000158747","4681"
"ENSG00000158747","100532736"
"ENSG00000158865","115584"
"ENSG00000159167","6781"
"ENSG00000159200","1827"
"ENSG00000159387","79190"
"ENSG00000159714","29800"
"ENSG00000160111","27151"
"ENSG00000160145","8997"
"ENSG00000160179","9619"
"ENSG00000160180","7033"
"ENSG00000160191","5152"
"ENSG00000160226","755"
"ENSG00000160255","3689"
"ENSG00000160326","11182"
"ENSG00000160360","26086"
"ENSG00000160446","84885"
"ENSG00000160469","84446"
"ENSG00000160862","563"
"ENSG00000160999","10603"
"ENSG00000161328","115399"
"ENSG00000161677","126119"
"ENSG00000161681","50944"
"ENSG00000161682","284069"
"ENSG00000161847","125950"
"ENSG00000162078","124220"
"ENSG00000162267","3699"
"ENSG00000162366","10158"
"ENSG00000162426","50651"
"ENSG00000162458","54751"
"ENSG00000162512","9672"
"ENSG00000162545","55450"
"ENSG00000162572","6339"
