"","coefficients","stdev.unscaled","sigma","df.residual","Amean"
"51",-0.338343045045432,1.11257223451412,0.523077169288553,10,-1.17224494131066
"52",0.303803257434737,0.36559087100807,2.68125463836031,10,2.75329364237561
"53",1.12300155873397,0.975897744188589,1.2039742868372,10,-0.697042312652776
"54",0.317847896694865,0.439652435101666,0.610672327624447,10,1.7634613151207
"55",0.277076776993701,0.236920850825448,0.461759571749763,10,5.41223085791662
"56",0.00250857577618735,0.234580499705227,0.301304806387831,10,5.54723463313792
"57",-0.182959380544706,0.228869583577897,1.75895667516956,10,6.04324111151732
"58",0.236157618396169,0.444349751037495,0.219889336619695,10,1.70671673204922
"59",0.0506006036787205,0.672482070724826,0.672391705683117,10,0.265176983367689
"60",-0.0540868689178946,0.476147127261624,1.20851106253262,10,1.38052462537565
"61",-0.194905716999328,0.232055050127428,0.435002704318451,10,5.73496622878071
"62",-0.0179365728824852,0.234988408235144,0.349384415324959,10,9.37894492695388
"63",0.189819306364321,0.863900829540941,0.3464250705091,10,-0.40003768554341
"64",0.72287168887733,0.987588403840361,0.673579321631283,10,-0.780059017507465
"65",0.0590542307471056,0.233825180368435,0.355130000758836,10,5.59600872053642
"66",-0.139991562322406,0.227015614273054,0.488114297150786,10,6.3679663072247
"67",-0.31817004478416,0.932135972760252,0.618840614530437,10,-0.61608903718402
"68",-0.3130658802261,0.376706747327434,0.494290399814737,10,2.59643574456467
"69",-0.107075610136933,0.226920081225102,0.737792860200127,10,7.59135523083429
"70",-0.235954569228725,0.251973103986836,0.377793419380978,10,4.81466751116742
"71",2.06893555583435,1.75297684479728,0.827505891302987,10,-2.60771463842099
"72",-0.0428299622710302,0.254757311705863,0.485343939293692,10,4.72349123830075
"73",0.201139721659396,0.554172972512337,2.01160566341938,10,0.817142960565837
"74",-0.0753511609303228,0.346795662693822,0.57197147397021,10,3.02771405075165
"75",0.913006727959539,1.4101065136781,0.944993377492082,10,-1.95496766707594
"76",-0.072668592349751,0.899415894354024,0.675557354386288,10,-0.516748274497921
"77",-0.332353070084112,0.226446097611445,2.66369206574836,10,7.19659513409633
"78",-0.0135867342664833,0.231847285217764,0.54179353221326,10,5.74093838657993
"79",0.028687661367341,0.251700077315466,0.285172431666052,10,4.81051839069975
"80",-0.115128384108699,0.306551832535098,2.94473174882769,10,3.65843450961447
"81",0.0109674797538206,0.228665366845899,0.334383951933661,10,6.05197556165734
"82",-0.231744661056322,0.236511117652424,0.44839601554349,10,5.441531259643
"83",-0.0697394023717561,0.332360636350102,0.183261340177726,10,3.24484326429081
"84",0.267274588819331,0.245084719840237,1.55387279938088,10,5.03798081782333
"85",-0.0779551464967592,1.13372908015089,1.03556267137202,10,-1.24504676482908
"86",1.1247762814014,2.09938763610558,0.983804796915336,10,-3.48729638936256
"87",1.05696852968939,1.66572275393267,1.3874591682078,10,-2.57489943221642
"88",0.0584694385669255,0.244919022415972,0.760619011619644,10,5.03851995412307
"89",0.387331812622628,0.271190323445259,2.21427036193964,10,4.33216918839316
"90",0.0569245577725869,0.757941471855621,1.11642292939635,10,-0.0426785175563933
"91",-0.0686052502033156,0.226372100452647,0.612251549874962,10,6.64485844857659
"92",-0.540806974445559,0.371906042413962,2.59597178761734,10,2.67560440254515
"93",-0.231765816800021,0.22706890034508,0.633376986632072,10,7.65197882500285
"94",-0.262787687135293,0.353118684420826,1.90284862153617,10,2.93697334499695
"95",-0.142585085585065,0.227018381379681,2.5250893873063,10,6.36780575518459
"96",0.149014426777772,0.376214911555803,1.55085437458538,10,2.59794930636733
"97",0.347815630467544,0.272101884571864,1.42616835914375,10,4.30821713596907
"98",-0.176764958872663,0.275149870486183,0.728993582530366,10,4.24312029373471
"99",-0.0668755158829417,0.304809793772223,0.507488362536888,10,3.6877253692671
"100",0.337579682617017,0.230023958641874,1.33873399653999,10,5.91424349897804
"101",0.162585153959355,0.230705864775362,1.81488160896499,10,5.83764053129419
"102",0.116039201361237,0.275605379074898,0.768112326107901,10,4.22832344592709
