"hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Ensembl_ID"
"SERPINF1",-1.06425238075776,-0.165982448693299,-0.6478940784162,0.529203892712301,0.999980315117939,-4.60310635197625,"ENSG00000132386"
"SNAP25",-1.07219941443966,0.792010546850296,-1.40645781211888,0.184847511329251,0.999980315117939,-4.57413389274754,"ENSG00000132639"
"DMGDH",-1.0131765478378,-1.39952743355175,-1.37369425906395,0.194550145083758,0.999980315117939,-4.59024921102652,"ENSG00000132837"
"PLAAT4",-1.45509160753428,-1.8984237934283,-0.745796564363755,0.470087864641534,0.999980315117939,-4.59708961262327,"ENSG00000133321"
"NTS",-2.67655186698253,-3.07593341573793,-1.17603076768119,0.262291840280214,0.999980315117939,-4.59434691160277,"ENSG00000133636"
"PIWIL4",-1.32813897849513,-1.78612824100551,-1.28581811636974,0.222663890955911,0.999980315117939,-4.59227578357238,"ENSG00000134627"
"TES",-2.35007868332653,3.53259185873309,-1.42767892606066,0.178780974554117,0.999980315117939,-4.53499255129534,"ENSG00000135269"
"PRRG4",-1.55805724976971,-1.72654734699282,-1.34182855498696,0.204387385911761,0.999980315117939,-4.59165376309581,"ENSG00000135378"
"SERPINE2",-1.06369124836497,8.0633125186518,-1.76816460095069,0.102316404909318,0.999980315117939,-4.38269726904562,"ENSG00000135919"
"IGF2BP3",-1.3840798486112,3.06996571491625,-0.887003319114399,0.392434727352279,0.999980315117939,-4.61312860142379,"ENSG00000136231"
"SLC22A23",-1.42027280768976,1.248182555064,-0.691808546854194,0.502168676067294,0.999980315117939,-4.61182820206633,"ENSG00000137266"
"LRRC32",-1.37847555878951,-0.42954618158356,-1.0226238839333,0.326575759900645,0.999980315117939,-4.59476776836322,"ENSG00000137507"
"SULF1",-1.76067511085905,2.11843212086135,-0.466900025644088,0.648899516216171,0.999980315117939,-4.63268800887215,"ENSG00000137573"
"SQOR",-3.28131306687771,-0.370321069224187,-2.78207928061022,0.0165284876705441,0.999980315117939,-4.56134597809173,"ENSG00000137767"
"STRA6",-2.75905078022668,2.64517398180362,-1.6961321826598,0.115516623477211,0.999980315117939,-4.51826576036198,"ENSG00000137868"
"EGF",-1.01410586315076,-1.1991260699599,-0.464664496581218,0.650454605056928,0.999980315117939,-4.60062843215697,"ENSG00000138798"
"PRICKLE1",-1.48027200693554,0.291434478638782,-0.534417231021366,0.602772739773754,0.999980315117939,-4.6071858348135,"ENSG00000139174"
"ADAMTS17",-1.69847032645387,-1.84123731488581,-1.3027193706187,0.217014391847615,0.999980315117939,-4.59230429556201,"ENSG00000140470"
"ZNF287",-1.20739903719056,2.80343964055588,-1.85186052992272,0.088690277037919,0.999980315117939,-4.48035801231993,"ENSG00000141040"
"ACTA1",-1.18465819962816,-2.67650608323182,-0.907350721739128,0.382006466203235,0.999980315117939,-4.59564414659304,"ENSG00000143632"
"ITPKB",-1.1601176787016,-0.0768509657011183,-0.68248826978157,0.507836944038809,0.999980315117939,-4.60262676704333,"ENSG00000143772"
"PLEKHA6",-2.17596853219825,-1.35297694659265,-1.07832076314647,0.30200124021367,0.999980315117939,-4.59430029439953,"ENSG00000143850"
"ST6GAL2",-1.2397114583849,-2.68252732667079,-0.493182307229569,0.630747923268548,0.999980315117939,-4.59741030319052,"ENSG00000144057"
"ACKR3",-1.13866623528095,-0.0995725598637298,-1.57087712702437,0.142082978542502,0.999980315117939,-4.57791549474651,"ENSG00000144476"
"OSBPL10",-1.00378582746347,1.65942161732714,-0.663209485035059,0.519681071023039,0.999980315117939,-4.61903717481135,"ENSG00000144645"
"ZNF660",-1.14886947842626,-3.20498678841144,-0.579202588365261,0.573119973497738,0.999980315117939,-4.59667011365693,"ENSG00000144792"
"COL8A1",-1.54130418154106,4.45873940915423,-0.651400537309134,0.52701482929234,0.999980315117939,-4.66161927783736,"ENSG00000144810"
"SLIT2",-1.19325632840835,0.0284681241416058,-0.434666316862606,0.671485956559448,0.999980315117939,-4.60731917371566,"ENSG00000145147"
"PLAC8",-1.76455582815901,2.6047222294765,-0.892681276417632,0.389505275864133,0.999980315117939,-4.60915408754564,"ENSG00000145287"
"SLC2A12",-2.21903578899752,0.1734239407778,-0.900025262371589,0.385738577514431,0.999980315117939,-4.59770671263917,"ENSG00000146411"
"TMEM140",-1.37365834904481,-0.863455080892762,-1.11087432408244,0.288294750655265,0.999980315117939,-4.59340173870364,"ENSG00000146859"
"LANCL3",-1.11660446276775,-1.8816971242879,-0.66408379765482,0.519140463315121,0.999980315117939,-4.59772432270652,"ENSG00000147036"
"CSGALNACT1",-4.25883813988686,1.19807322888363,-2.5037624603754,0.0276495820973378,0.999980315117939,-4.54171654139762,"ENSG00000147408"
"ANKRD1",-1.1169849035648,0.606368591036302,-0.393423232398023,0.700878364764809,0.999980315117939,-4.61402884653658,"ENSG00000148677"
"NCAM1",-2.35010417537271,0.675164108437308,-0.861052303208711,0.406015030194462,0.999980315117939,-4.59982212061055,"ENSG00000149294"
"FEZ1",-1.00853822129821,1.26466898002821,-0.463290284408448,0.651411394551459,0.999980315117939,-4.62246080774011,"ENSG00000149557"
"TAGLN",-4.36478517270589,4.56002581941368,-2.33941663972401,0.0373418916104281,0.999980315117939,-4.35749369796801,"ENSG00000149591"
"LYPD1",-1.16444661576988,-1.17114863482345,-0.599799834271127,0.559748513134809,0.999980315117939,-4.59956510342893,"ENSG00000150551"
